school_name,year,data_type,education,trade_name,flow_number,flow_rate,province,province_flow_number
北京服装学院,2022,employment_flow,本科,纺织服装、服饰业,251.0,28.79,,
北京服装学院,2022,employment_flow,本科,文化、体育和娱乐业,160.0,18.38,,
北京服装学院,2022,employment_flow,本科,教育,68.0,7.75,,
北京服装学院,2022,employment_flow,本科,金融业,32.0,3.7,,
北京服装学院,2022,employment_flow,本科,科学研究和技术服务业,24.0,2.77,,
北京服装学院,2022,employment_flow,本科,批发和零售业,76.0,8.67,,
北京服装学院,2022,employment_flow,本科,信息传输、软件和信息技术服务业,79.0,9.02,,
北京服装学院,2022,employment_flow,本科,制造业,42.0,4.86,,
北京服装学院,2022,employment_flow,本科,建筑业,33.0,3.82,,
北京服装学院,2022,employment_flow,本科,公共管理、社会保障和社会组织,19.0,2.2,,
北京服装学院,2022,employment_flow,本科,其他,88.0,10.06,,
北京服装学院,2022,employment_flow,硕士,纺织服装、服饰业,102.0,31.29,,
北京服装学院,2022,employment_flow,硕士,文化、体育和娱乐业,16.0,4.91,,
北京服装学院,2022,employment_flow,硕士,教育,54.0,16.56,,
北京服装学院,2022,employment_flow,硕士,金融业,9.0,2.76,,
北京服装学院,2022,employment_flow,硕士,科学研究和技术服务业,12.0,3.68,,
北京服装学院,2022,employment_flow,硕士,批发和零售业,28.0,8.59,,
北京服装学院,2022,employment_flow,硕士,信息传输、软件和信息技术服务业,44.0,13.5,,
北京服装学院,2022,employment_flow,硕士,制造业,15.0,4.6,,
北京服装学院,2022,employment_flow,硕士,建筑业,14.0,4.29,,
北京服装学院,2022,employment_flow,硕士,公共管理、社会保障和社会组织,7.0,2.15,,
北京服装学院,2022,employment_flow,硕士,其他,25.0,7.67,,
北京服装学院,2022,employment_flow,整体,纺织服装、服饰业,351.0,29.47,,
北京服装学院,2022,employment_flow,整体,文化、体育和娱乐业,175.0,14.69,,
北京服装学院,2022,employment_flow,整体,教育,121.0,10.16,,
北京服装学院,2022,employment_flow,整体,金融业,41.0,3.44,,
北京服装学院,2022,employment_flow,整体,科学研究和技术服务业,36.0,3.02,,
北京服装学院,2022,employment_flow,整体,批发和零售业,103.0,8.65,,
北京服装学院,2022,employment_flow,整体,信息传输、软件和信息技术服务业,122.0,10.24,,
北京服装学院,2022,employment_flow,整体,制造业,57.0,4.79,,
北京服装学院,2022,employment_flow,整体,建筑业,47.0,3.95,,
北京服装学院,2022,employment_flow,整体,公共管理、社会保障和社会组织,26.0,2.18,,
北京服装学院,2022,employment_flow,整体,其他,112.0,9.4,,
北京服装学院,2021,employment_flow,本科,纺织服装、服饰业,224.0,29.24,,
